Brand Slug,Vehicle Name,Vehicle Description,Model Slug,Electric,Model Name,Average Rating,Id,Brand Name,Vehicle Image,Category Slug,BrandId,Category Name,CategoryId,Vehicle Price,Variant Name,Fuel Type,Power,Torque,Fuel Tank Capacity,Gross Vehicle Weight,No Of Seats,core_vehicle_info,llm_ready_vehicle_description,End Point
tata,Tata 1815 LPT,"The Tata 1815 LPT is a medium-duty truck built for long-distance and intercity cargo transportation. Known for its high payload capacity and durability, this truck delivers exceptional fuel efficiency and performance. Its proven LPT design ensures reliability, while the robust build makes it ideal for industries like logistics, FMCG, and e-commerce. The cabin is designed with comfort and convenience in mind, featuring ergonomic seating and modern controls. The Tata 1815 LPT is a trusted choice for businesses looking for cost-effective and reliable transportation solutions.",815-lpt,No,1815 LPT,NA,1274,Tata,https://images.91trucks.com/trucks/models/63/1274/tata-815-lpt-1340125921.jpg,trucks,63,Truck,7,₹26.84 Lakh,DCR 48 HSD,Diesel,NA,NA,NA,NA,NA,Truck Tata 1815 LPT DCR 48 HSD,tata lpt mediumduty truck build longdistance intercity cargo transportation know high payload capacity durability truck deliver exceptional fuel efficiency performance proven lpt design ensure reliability robust build make ideal industry like logistic fmcg ecommerce cabin design comfort convenience mind feature ergonomic seating modern control tata lpt trusted choice business look costeffective reliable transportation solution,https://www.91trucks.com/trucks/tata/815-lpt
tata,Tata 1815 LPT,"The Tata 1815 LPT is a medium-duty truck built for long-distance and intercity cargo transportation. Known for its high payload capacity and durability, this truck delivers exceptional fuel efficiency and performance. Its proven LPT design ensures reliability, while the robust build makes it ideal for industries like logistics, FMCG, and e-commerce. The cabin is designed with comfort and convenience in mind, featuring ergonomic seating and modern controls. The Tata 1815 LPT is a trusted choice for businesses looking for cost-effective and reliable transportation solutions.",815-lpt,No,1815 LPT,NA,1274,Tata,https://images.91trucks.com/trucks/models/63/1274/tata-815-lpt-1340125921.jpg,trucks,63,Truck,7,₹26.00 Lakh,DCR 48 CBC,Diesel,NA,NA,NA,NA,NA,Truck Tata 1815 LPT DCR 48 CBC,tata lpt mediumduty truck build longdistance intercity cargo transportation know high payload capacity durability truck deliver exceptional fuel efficiency performance proven lpt design ensure reliability robust build make ideal industry like logistic fmcg ecommerce cabin design comfort convenience mind feature ergonomic seating modern control tata lpt trusted choice business look costeffective reliable transportation solution,https://www.91trucks.com/trucks/tata/815-lpt
tata,Tata 1815 LPT,"The Tata 1815 LPT is a medium-duty truck built for long-distance and intercity cargo transportation. Known for its high payload capacity and durability, this truck delivers exceptional fuel efficiency and performance. Its proven LPT design ensures reliability, while the robust build makes it ideal for industries like logistics, FMCG, and e-commerce. The cabin is designed with comfort and convenience in mind, featuring ergonomic seating and modern controls. The Tata 1815 LPT is a trusted choice for businesses looking for cost-effective and reliable transportation solutions.",815-lpt,No,1815 LPT,NA,1274,Tata,https://images.91trucks.com/trucks/models/63/1274/tata-815-lpt-1340125921.jpg,trucks,63,Truck,7,₹25.88 Lakh,DCR 42 HSD,Diesel,NA,NA,NA,NA,NA,Truck Tata 1815 LPT DCR 42 HSD,tata lpt mediumduty truck build longdistance intercity cargo transportation know high payload capacity durability truck deliver exceptional fuel efficiency performance proven lpt design ensure reliability robust build make ideal industry like logistic fmcg ecommerce cabin design comfort convenience mind feature ergonomic seating modern control tata lpt trusted choice business look costeffective reliable transportation solution,https://www.91trucks.com/trucks/tata/815-lpt
tata,Tata 1815 LPT,"The Tata 1815 LPT is a medium-duty truck built for long-distance and intercity cargo transportation. Known for its high payload capacity and durability, this truck delivers exceptional fuel efficiency and performance. Its proven LPT design ensures reliability, while the robust build makes it ideal for industries like logistics, FMCG, and e-commerce. The cabin is designed with comfort and convenience in mind, featuring ergonomic seating and modern controls. The Tata 1815 LPT is a trusted choice for businesses looking for cost-effective and reliable transportation solutions.",815-lpt,No,1815 LPT,NA,1274,Tata,https://images.91trucks.com/trucks/models/63/1274/tata-815-lpt-1340125921.jpg,trucks,63,Truck,7,₹25.84 Lakh,DCR 42 CBC,Diesel,NA,NA,NA,NA,NA,Truck Tata 1815 LPT DCR 42 CBC,tata lpt mediumduty truck build longdistance intercity cargo transportation know high payload capacity durability truck deliver exceptional fuel efficiency performance proven lpt design ensure reliability robust build make ideal industry like logistic fmcg ecommerce cabin design comfort convenience mind feature ergonomic seating modern control tata lpt trusted choice business look costeffective reliable transportation solution,https://www.91trucks.com/trucks/tata/815-lpt
tata,Tata Ultra Sleek T.7 Truck,"The Tata Ultra Sleek T.7 is a light commercial vehicle (LCV) designed for intra-city and last-mile deliveries. With a sleek and compact design, the T.7 ensures excellent maneuverability in narrow city streets while providing ample cargo space. This truck is equipped with a modern cabin, advanced ergonomics, and superior safety features, enhancing driver comfort and operational efficiency. It is ideal for logistics, e-commerce, and distribution businesses, offering reliability, fuel efficiency, and low maintenance costs. The Ultra Sleek T.7 is a preferred choice for businesses seeking a dependable and versatile light-duty truck.",ultra-sleek-t-7-truck,No,Ultra Sleek T.7 Truck,NA,1281,Tata,https://images.91trucks.com/trucks/models/63/1281/tata-ultra-sleek-t-7-truck-740332917.jpg,trucks,63,Truck,7,₹17.90 Lakh,base,NA,92 HP,360 Nm,90 L,NA,NA,Truck Tata Ultra Sleek T.7 Truck base,tata ultra sleek t light commercial vehicle lcv design intracity lastmile delivery sleek compact design t ensure excellent maneuverability narrow city street provide ample cargo space truck equip modern cabin advanced ergonomic superior safety feature enhance driver comfort operational efficiency ideal logistic ecommerce distribution business offer reliability fuel efficiency low maintenance cost ultra sleek t preferred choice business seek dependable versatile lightduty truck,https://www.91trucks.com/trucks/tata/ultra-sleek-t-7-truck
tata,Tata 710 SK,"The Tata 710 SK is an LCV tipper truck from Tata Motors, designed for transportation and logistics applications. In the BSIV era this truck was known as the legendary Sk407 tipper, it is powered by a 3.0L BSVI diesel engine that produces 98 hp of power @2800 rpm and 300 Nm of torque @1,200-2,200 rpm and is paired with a 5-speed manual gearbox. The 710 SK has a gross vehicle weight capacity of up to 7,490 kg and features parabolic leaf springs at the front and semi-elliptical leaf springs at the rear for robust suspension.",710-sk,No,710 SK,NA,1259,Tata,https://images.91trucks.com/trucks/models/63/1259/tata-710-sk-1074481423.jpg,trucks,63,Truck,7,₹18.81 Lakh,Base,NA,98 HP,NA,60 L,7490 Kg,NA,Truck Tata 710 SK Base,tata sk lcv tipper truck tata motor design transportation logistic application bsiv era truck know legendary sk tipper power l bsvi diesel engine produce hp power rpm nm torque rpm pair speed manual gearbox sk gross vehicle weight capacity kg feature parabolic leaf spring semielliptical leaf spring rear robust suspension,https://www.91trucks.com/trucks/tata/710-sk
tata,Tata 610 LPK,"The Tata 610 LPK is a compact and versatile tipper truck designed for construction and infrastructure projects. With its robust build and high maneuverability, it performs well in challenging terrains and confined spaces. It offers excellent payload capacity for small-scale material transport such as sand, gravel, or debris. The fuel-efficient engine ensures lower operational costs, while the sturdy chassis adds to the truck’s durability. Its cabin is driver-centric, with comfort-focused features for productivity. The Tata 610 LPK is an ideal choice for small to medium construction businesses requiring reliable tipping solutions.",610-lpk,No,610 LPK,NA,1258,Tata,https://images.91trucks.com/trucks/models/63/1258/tata-610-lpk-88033027.jpg,trucks,63,Truck,7,₹18.01 Lakh,Base,NA,NA,NA,60 L,6250 Kg,NA,Truck Tata 610 LPK Base,tata lpk compact versatile tipper truck design construction infrastructure project robust build high maneuverability perform challenge terrain confine space offer excellent payload capacity smallscale material transport sand gravel debris fuelefficient engine ensure low operational cost sturdy chassis add truck durability cabin drivercentric comfortfocuse feature productivity tata lpk ideal choice small medium construction business require reliable tipping solution,https://www.91trucks.com/trucks/tata/610-lpk
tata,Tata Ultra Sleek T.9,"The Tata Ultra Sleek T.9 is a high-performance commercial vehicle that offers a unique blend of style, comfort, and functionality. It is designed to cater to the needs of businesses that require a reliable and efficient transportation solution. The vehicle is powered by a 4-cylinder, 4-stroke diesel engine that produces 98 horsepower and 300 Nm of torque. It has a 6-speed manual transmission and a top speed of 120 km/h.",ultra-sleek-t-9,No,Ultra Sleek T.9,NA,1282,Tata,https://images.91trucks.com/trucks/models/63/1282/tata-ultra-sleek-t-9-199732698.jpg,trucks,63,Truck,7,₹17.36 Lakh,3550/CAB/6 Tyre,Diesel,NA,NA,NA,NA,NA,Truck Tata Ultra Sleek T.9 3550/CAB/6 Tyre,tata ultra sleek t highperformance commercial vehicle offer unique blend style comfort functionality design cater need business require reliable efficient transportation solution vehicle power cylinder stroke diesel engine produce horsepower nm torque speed manual transmission speed kmh,https://www.91trucks.com/trucks/tata/ultra-sleek-t-9
tata,Tata Ultra Sleek T.9,"The Tata Ultra Sleek T.9 is a high-performance commercial vehicle that offers a unique blend of style, comfort, and functionality. It is designed to cater to the needs of businesses that require a reliable and efficient transportation solution. The vehicle is powered by a 4-cylinder, 4-stroke diesel engine that produces 98 horsepower and 300 Nm of torque. It has a 6-speed manual transmission and a top speed of 120 km/h.",ultra-sleek-t-9,No,Ultra Sleek T.9,NA,1282,Tata,https://images.91trucks.com/trucks/models/63/1282/tata-ultra-sleek-t-9-199732698.jpg,trucks,63,Truck,7,₹17.32 Lakh,3550/HDLB/6 Tyre,Diesel,NA,NA,NA,NA,NA,Truck Tata Ultra Sleek T.9 3550/HDLB/6 Tyre,tata ultra sleek t highperformance commercial vehicle offer unique blend style comfort functionality design cater need business require reliable efficient transportation solution vehicle power cylinder stroke diesel engine produce horsepower nm torque speed manual transmission speed kmh,https://www.91trucks.com/trucks/tata/ultra-sleek-t-9
tata,Tata Ultra Sleek T.9,"The Tata Ultra Sleek T.9 is a high-performance commercial vehicle that offers a unique blend of style, comfort, and functionality. It is designed to cater to the needs of businesses that require a reliable and efficient transportation solution. The vehicle is powered by a 4-cylinder, 4-stroke diesel engine that produces 98 horsepower and 300 Nm of torque. It has a 6-speed manual transmission and a top speed of 120 km/h.",ultra-sleek-t-9,No,Ultra Sleek T.9,NA,1282,Tata,https://images.91trucks.com/trucks/models/63/1282/tata-ultra-sleek-t-9-199732698.jpg,trucks,63,Truck,7,₹17.31 Lakh,4530/CAB/6 Tyre,Diesel,NA,NA,NA,NA,NA,Truck Tata Ultra Sleek T.9 4530/CAB/6 Tyre,tata ultra sleek t highperformance commercial vehicle offer unique blend style comfort functionality design cater need business require reliable efficient transportation solution vehicle power cylinder stroke diesel engine produce horsepower nm torque speed manual transmission speed kmh,https://www.91trucks.com/trucks/tata/ultra-sleek-t-9
